customer_id,customer_name,city,segment,signup_channel,signup_date,email,phone,has_email,has_phone
C0001,Allison Hill,Hyderabad,New,Organic,2024-05-11,allison.hill@example.com,001-218-519-6001x3389,True,True
C0002,Meredith Barnes,Hyderabad,Returning,Paid Ads,2025-01-07,meredith.barnes@example.com,302-765-4235x116,True,True
C0003,Lindsey Roman,Delhi,New,Organic,2025-11-02,lindsey.roman@example.com,+1-516-318-4959,True,True
C0004,Darren Roberts,Hyderabad,VIP,Email,2023-12-10,darren.roberts@example.com,,True,False
C0005,BRIAN RAMIREZ,Chandigarh,VIP,Social Media,2025-07-25,brian.ramirez@example.com,(925)853-4192x832,True,True
C0006,Timothy Watts,Chandigarh,New,Organic,2024-05-07,,903-405-6413x95376,False,True
C0007,David Hoffman,Delhi,New,Email,2024-06-22,david.hoffman@example.com,001-369-265-3287,True,True
C0008,Brittany Moore,Pune,New,Email,2025-09-10,brittany.moore@example.com,,True,False
C0009,Janice Carlson,Delhi,VIP,Email,2025-01-27,janice.carlson@example.com,280-618-4514x627,True,True
C0010,PAMELA ROMERO,Bangalore,New,Social Media,2024-01-08,pamela.romero@example.com,+1-948-293-2528x8095,True,True
C0011,Jack Galloway,Pune,Returning,Organic,2026-01-23,jack.galloway@example.com,403.491.1718,True,True
C0012,Theresa Martin,Delhi,VIP,Social Media,2025-03-31,,,False,False
C0013,Tracey Hickman,Mumbai,Returning,Paid Ads,2025-11-29,tracey.hickman@example.com,001-734-265-7871x331,True,True
C0014,Crystal Robinson,Delhi,Returning,Organic,2023-12-01,crystal.robinson@example.com,+1-403-910-5183x4738,True,True
C0015,JOHN RUSSELL,Chandigarh,Returning,Organic,2023-12-26,john.russell@example.com,+1-565-966-7010x65133,True,True
C0016,Clifford Ford,Mumbai,Returning,Email,2026-04-05,clifford.ford@example.com,,True,False
C0017,Robert Chase,Mumbai,New,Social Media,2023-12-30,robert.chase@example.com,+1-880-213-2677x3602,True,True
C0018,Mrs. Rachel Gibson,Pune,New,Social Media,2024-12-10,,001-287-923-4309x8050,False,True
C0019,Sarah Moore,Chandigarh,VIP,Referral,2026-07-06,sarah.moore@example.com,521-291-3619,True,True
C0020,JENNIFER SILVA,Hyderabad,VIP,Referral,2025-03-26,jennifer.silva@example.com,,True,False
C0021,Christina Moran,Pune,New,Organic,2024-05-28,christina.moran@example.com,(524)675-1079x9118,True,True
C0022,Gregory Jones,Chandigarh,VIP,Paid Ads,2024-06-03,gregory.jones@example.com,327-384-9808x4124,True,True
C0023,Brittney Campbell,Mumbai,New,Paid Ads,2024-04-28,brittney.campbell@example.com,634-487-4016x40052,True,True
C0024,Kristen Patterson,Chandigarh,Returning,Referral,2023-09-27,,,False,False
C0025,STEPHEN MCKEE,Bangalore,VIP,Referral,2025-04-20,stephen.mckee@example.com,(598)326-2045x053,True,True
C0026,Justin Baxter,Delhi,Returning,Referral,2026-07-20,justin.baxter@example.com,001-323-822-6025x6342,True,True
C0027,Shannon Walker,Delhi,VIP,Referral,2026-02-02,shannon.walker@example.com,754.833.0365x414,True,True
C0028,Sarah Rivera,Hyderabad,VIP,Organic,2023-10-16,sarah.rivera@example.com,,True,False
C0029,Debbie Carpenter,Pune,VIP,Paid Ads,2026-07-30,debbie.carpenter@example.com,3198655698,True,True
C0030,CHERYL WILLIAMS,Pune,VIP,Paid Ads,2024-12-24,,783.856.1595x14846,False,True
C0031,Kristen Lee,Delhi,Returning,Social Media,2025-08-25,kristen.lee@example.com,(729)994-6804x4369,True,True
C0032,Michael Dixon,Mumbai,VIP,Email,2026-01-09,michael.dixon@example.com,,True,False
C0033,Nancy Hopkins,Delhi,VIP,Referral,2024-07-15,nancy.hopkins@example.com,+1-395-913-4332x00379,True,True
C0034,Mark Lee,Chandigarh,New,Organic,2025-09-27,mark.lee@example.com,563.320.1632x8708,True,True
C0035,ROBERT CONTRERAS,Mumbai,Returning,Referral,2026-08-04,robert.contreras@example.com,+1-557-698-6872x774,True,True
C0036,Kelly Sims,Chandigarh,New,Email,2024-07-05,,,False,False
C0037,Dustin Nelson,Hyderabad,Returning,Paid Ads,2024-08-22,dustin.nelson@example.com,+1-812-823-6231,True,True
C0038,John Brown,Hyderabad,Returning,Social Media,2026-02-20,john.brown@example.com,(590)996-7054x6688,True,True
C0039,Jeffrey Johnson,Hyderabad,Returning,Paid Ads,2024-09-08,jeffrey.johnson@example.com,+1-462-972-9806x99016,True,True
C0040,DAVID MURPHY,Mumbai,New,Paid Ads,2025-01-13,david.murphy@example.com,,True,False
C0041,Shawn Ramirez,Hyderabad,VIP,Email,2026-06-26,shawn.ramirez@example.com,(241)470-8053x10033,True,True
C0042,John Wilson,Mumbai,VIP,Email,2026-06-22,,645.829.9124x190,False,True
C0043,Miguel Jones,Bangalore,VIP,Social Media,2025-09-21,miguel.jones@example.com,+1-731-249-1905x8651,True,True
C0044,Samantha Garcia,Mumbai,New,Paid Ads,2026-07-06,samantha.garcia@example.com,,True,False
C0045,SANDRA ZIMMERMAN,Pune,Returning,Organic,2024-12-23,sandra.zimmerman@example.com,001-684-998-7769x4531,True,True
C0046,John Bishop,Chandigarh,New,Paid Ads,2024-10-24,john.bishop@example.com,6756273545,True,True
C0047,Kellie Lee,Hyderabad,New,Social Media,2024-05-31,kellie.lee@example.com,(778)937-7701x43634,True,True
C0048,Hailey Barajas,Pune,New,Social Media,2025-04-25,,,False,False
C0049,Jesse Parker,Bangalore,VIP,Social Media,2024-05-19,jesse.parker@example.com,001-635-318-2337x4989,True,True
C0050,ELIZABETH WARD,Pune,Returning,Email,2024-08-03,elizabeth.ward@example.com,001-682-940-0842x710,True,True
C0051,Glen Sheppard,Chandigarh,VIP,Organic,2024-06-11,glen.sheppard@example.com,511.367.1902x2941,True,True
C0052,Jennifer Carlson,Hyderabad,VIP,Referral,2025-07-06,jennifer.carlson@example.com,,True,False
C0053,Jamie Kerr,Hyderabad,Returning,Organic,2024-07-29,jamie.kerr@example.com,001-564-699-0913,True,True
C0054,Brooke Thompson,Mumbai,Returning,Paid Ads,2023-12-05,,6679974034,False,True
C0055,DAVID BAKER,Bangalore,New,Referral,2026-01-06,david.baker@example.com,001-336-218-3242,True,True
C0056,Eric Curry,Pune,New,Email,2025-05-15,eric.curry@example.com,,True,False
C0057,Caleb Barker,Chandigarh,VIP,Referral,2025-10-01,caleb.barker@example.com,288-377-1906x594,True,True
C0058,Michael Valencia,Hyderabad,VIP,Email,2025-06-03,michael.valencia@example.com,4498027874,True,True
C0059,Katherine Davis,Delhi,New,Referral,2024-09-21,katherine.davis@example.com,651-725-6746x80715,True,True
C0060,RAYMOND HANCOCK,Delhi,VIP,Email,2026-02-11,,,False,False
C0061,Sean Murray,Chandigarh,VIP,Referral,2023-11-13,sean.murray@example.com,259.577.0348x24771,True,True
C0062,Emily Smith,Bangalore,New,Organic,2024-11-24,emily.smith@example.com,817.912.7484,True,True
C0063,Mrs. Kristen Reyes,Mumbai,Returning,Paid Ads,2026-05-25,mrs..kristen.reyes@example.com,421.946.5840x44997,True,True
C0064,Haley Arnold,Chandigarh,New,Email,2025-04-17,haley.arnold@example.com,,True,False
C0065,FRANK LOPEZ,Chandigarh,New,Social Media,2025-09-28,frank.lopez@example.com,001-463-960-5766,True,True
C0066,Beth Sanford,Chandigarh,VIP,Paid Ads,2024-09-04,,371-987-0262,False,True
C0067,Deborah Hanson,Delhi,VIP,Social Media,2024-11-13,deborah.hanson@example.com,358-565-7809,True,True
C0068,Tammie Bright,Pune,New,Referral,2025-11-20,tammie.bright@example.com,,True,False
C0069,Brett Schultz,Pune,VIP,Social Media,2026-04-03,brett.schultz@example.com,524.800.5045x562,True,True
C0070,REBECCA JACKSON,Delhi,VIP,Paid Ads,2023-12-10,rebecca.jackson@example.com,(693)479-2374x7407,True,True
C0071,Tony Huerta,Hyderabad,Returning,Social Media,2024-07-31,tony.huerta@example.com,(647)243-6713x69594,True,True
C0072,Mary Hill,Hyderabad,VIP,Referral,2025-05-11,,,False,False
C0073,Natasha Williams,Bangalore,VIP,Social Media,2025-06-23,natasha.williams@example.com,943.295.3394x2104,True,True
C0074,Morgan Davis,Chandigarh,New,Paid Ads,2024-07-27,morgan.davis@example.com,001-662-732-8588x4247,True,True
C0075,JULIE JONES,Chandigarh,Returning,Organic,2025-11-28,julie.jones@example.com,368.951.6048,True,True
C0076,Paul Baker,Pune,VIP,Paid Ads,2024-10-26,paul.baker@example.com,,True,False
C0077,Jacqueline Leonard,Pune,New,Organic,2025-01-31,jacqueline.leonard@example.com,+1-285-693-1746x120,True,True
C0078,Audrey Young DDS,Chandigarh,VIP,Organic,2024-11-03,,(786)592-6179x640,False,True
C0079,Trevor Foley,Delhi,New,Organic,2023-12-31,trevor.foley@example.com,+1-258-750-6431x71390,True,True
C0080,CAMERON CUNNINGHAM,Mumbai,New,Email,2023-11-29,cameron.cunningham@example.com,,True,False
C0081,Christine Robinson,Delhi,Returning,Social Media,2026-03-31,christine.robinson@example.com,729-504-2284x21020,True,True
C0082,Alexis Baker,Delhi,VIP,Paid Ads,2024-01-29,alexis.baker@example.com,(281)617-7589x17839,True,True
C0083,Victor Brown,Hyderabad,VIP,Email,2025-02-08,victor.brown@example.com,(761)877-1159x2124,True,True
C0084,Kerry Chavez DDS,Bangalore,New,Social Media,2023-12-31,,,False,False
C0085,SARAH CURTIS,Bangalore,New,Organic,2025-12-13,sarah.curtis@example.com,001-736-673-6576x6156,True,True
C0086,Christian Leblanc,Chandigarh,VIP,Social Media,2023-11-27,christian.leblanc@example.com,716-315-2809,True,True
C0087,Shane Pugh,Mumbai,Returning,Social Media,2024-12-10,shane.pugh@example.com,001-304-794-5198x3273,True,True
C0088,Holly Farmer,Bangalore,VIP,Organic,2025-05-20,holly.farmer@example.com,,True,False
C0089,Sarah Villegas,Hyderabad,VIP,Organic,2026-02-04,sarah.villegas@example.com,+1-480-494-0244x550,True,True
C0090,JENNIFER THOMAS,Chandigarh,Returning,Referral,2025-07-22,,7186366752,False,True
C0091,Paula Bradley,Chandigarh,New,Paid Ads,2023-12-16,paula.bradley@example.com,9229901476,True,True
C0092,Daniel Hunt,Delhi,VIP,Social Media,2024-09-18,daniel.hunt@example.com,,True,False
C0093,Michael Watkins,Delhi,Returning,Paid Ads,2025-03-31,michael.watkins@example.com,703-369-0034x3244,True,True
C0094,Paul Thompson,Mumbai,Returning,Paid Ads,2024-10-25,paul.thompson@example.com,001-738-885-1606x071,True,True
C0095,MICHELLE BUTLER,Chandigarh,Returning,Email,2024-01-17,michelle.butler@example.com,5528975161,True,True
C0096,Kelly Foster,Chandigarh,New,Email,2024-08-12,,,False,False
C0097,Gary Jackson,Chandigarh,New,Paid Ads,2025-03-13,gary.jackson@example.com,488-635-5231,True,True
C0098,Lance Wolf,Delhi,Returning,Social Media,2025-08-15,lance.wolf@example.com,(777)499-7995,True,True
C0099,John Welch,Bangalore,New,Social Media,2026-01-12,john.welch@example.com,001-205-781-4770,True,True
C0100,ANGELA LIN,Chandigarh,New,Social Media,2026-03-15,angela.lin@example.com,,True,False
C0101,Katie Ford,Chandigarh,Returning,Referral,2025-04-29,katie.ford@example.com,001-707-393-5978x2071,True,True
C0102,Carrie Wright,Bangalore,Returning,Social Media,2024-12-26,,288.792.5546x659,False,True
C0103,Brandon Gregory,Hyderabad,VIP,Email,2024-07-15,brandon.gregory@example.com,001-692-851-9254x6291,True,True
C0104,Erin Anderson,Hyderabad,VIP,Social Media,2025-10-04,erin.anderson@example.com,,True,False
C0105,YOLANDA GAINES,Delhi,New,Referral,2023-12-25,yolanda.gaines@example.com,+1-468-350-5423x57332,True,True
C0106,Richard Romero,Delhi,New,Email,2025-04-13,richard.romero@example.com,001-980-259-2962x2292,True,True
C0107,Michael Young,Hyderabad,VIP,Organic,2025-01-02,michael.young@example.com,873-883-4735x9774,True,True
C0108,Ruth Solis,Hyderabad,Returning,Organic,2024-02-11,,,False,False
C0109,Martin Sawyer,Chandigarh,VIP,Social Media,2025-04-29,martin.sawyer@example.com,481-841-2478,True,True
C0110,THOMAS VELASQUEZ,Pune,VIP,Paid Ads,2026-04-16,thomas.velasquez@example.com,7605685361,True,True
C0111,Timothy Combs,Chandigarh,VIP,Organic,2025-08-09,timothy.combs@example.com,(220)347-2779,True,True
C0112,Daniel Hernandez,Delhi,New,Email,2026-06-14,daniel.hernandez@example.com,,True,False
C0113,Jenny Parsons,Chandigarh,VIP,Paid Ads,2024-05-27,jenny.parsons@example.com,203-569-7117,True,True
C0114,Doris Smith,Bangalore,New,Email,2024-09-26,,001-262-818-5188,False,True
C0115,AMANDA HUGHES,Delhi,VIP,Email,2024-10-18,amanda.hughes@example.com,001-705-415-3195x2058,True,True
C0116,Melinda Pollard,Chandigarh,VIP,Organic,2025-02-07,melinda.pollard@example.com,,True,False
C0117,Chad Baldwin,Bangalore,VIP,Email,2026-06-17,chad.baldwin@example.com,8439030548,True,True
C0118,Paul Lee,Pune,VIP,Referral,2024-10-01,paul.lee@example.com,001-705-641-5667x65277,True,True
C0119,Monica Miller,Mumbai,New,Referral,2025-06-19,monica.miller@example.com,(984)851-1544,True,True
C0120,JEREMY WEST,Delhi,Returning,Social Media,2025-10-30,,,False,False
C0121,Lisa Graham,Delhi,VIP,Referral,2025-07-29,lisa.graham@example.com,9162582029,True,True
C0122,David Brewer,Bangalore,Returning,Organic,2024-10-06,david.brewer@example.com,001-409-727-5571,True,True
C0123,Matthew Wright,Chandigarh,Returning,Email,2024-01-15,matthew.wright@example.com,001-927-586-8144x7394,True,True
C0124,Samuel Hayes,Pune,New,Organic,2026-05-01,samuel.hayes@example.com,,True,False
C0125,BRANDON FLEMING,Pune,New,Email,2026-03-05,brandon.fleming@example.com,451-588-4422x58313,True,True
C0126,Allison Spencer,Mumbai,New,Referral,2024-10-13,,+1-829-811-4678,False,True
C0127,Angela Compton,Chandigarh,New,Referral,2025-08-01,angela.compton@example.com,378.452.8922x680,True,True
C0128,Christopher Donovan,Mumbai,New,Social Media,2024-05-14,christopher.donovan@example.com,,True,False
C0129,Kelly Campbell,Pune,VIP,Referral,2023-12-09,kelly.campbell@example.com,484.424.9818,True,True
C0130,MARCUS WINTERS,Pune,VIP,Email,2024-09-10,marcus.winters@example.com,001-800-210-9439,True,True
C0131,Mr. Dylan Frye MD,Chandigarh,VIP,Email,2026-01-20,mr..dylan.frye.md@example.com,+1-464-771-0276x77359,True,True
C0132,Emma Travis,Mumbai,VIP,Organic,2024-09-18,,,False,False
C0133,Philip Robertson,Delhi,Returning,Organic,2024-01-08,philip.robertson@example.com,671.847.3210,True,True
C0134,Jennifer Estes,Chandigarh,VIP,Email,2026-05-04,jennifer.estes@example.com,995-532-7877x47016,True,True
C0135,HARRY WILLIAMS,Delhi,Returning,Referral,2025-02-25,harry.williams@example.com,+1-874-280-1624x5650,True,True
C0136,Chloe Tran,Pune,New,Referral,2023-12-04,chloe.tran@example.com,,True,False
C0137,Pamela Ramirez,Delhi,VIP,Referral,2026-08-05,pamela.ramirez@example.com,+1-891-221-6558x52398,True,True
C0138,Chad Cook,Pune,Returning,Referral,2025-02-02,,729.982.5952x694,False,True
C0139,Elizabeth Cabrera,Chandigarh,New,Social Media,2024-10-13,elizabeth.cabrera@example.com,+1-916-494-0974x99309,True,True
C0140,MICHELLE HAMPTON,Mumbai,New,Organic,2024-10-25,michelle.hampton@example.com,,True,False
C0141,Dana Armstrong,Mumbai,New,Referral,2025-10-02,dana.armstrong@example.com,907.256.2636,True,True
C0142,Kelly Hoffman,Delhi,VIP,Social Media,2026-08-15,kelly.hoffman@example.com,586.552.7858x5497,True,True
C0143,Edwin David,Pune,VIP,Social Media,2026-07-29,edwin.david@example.com,001-843-775-7584x41986,True,True
C0144,Regina Roberts,Pune,New,Organic,2024-07-19,,,False,False
